id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,11013,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19687156.0,19687156.0,False,,1,,,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 63737.603932100596, 'volume_24h': 49021152745.13907, 'volume_change_24h': 25.7395, 'percent_change_1h': -1.07463693, 'percent_change_24h': -0.06738444, 'percent_change_7d': -7.44098344, 'percent_change_30d': 1.56839412, 'percent_change_60d': 22.34545345, 'percent_change_90d': 53.18512761, 'market_cap': 1254812151677.4778, 'market_cap_dominance': 54.0787, 'fully_diluted_market_cap': 1338489682574.11, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
1027,Ethereum,ETH,ethereum,8839,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073358.07268304,120073358.07268304,True,,2,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 3056.0706504948735, 'volume_24h': 19610167557.495052, 'volume_change_24h': 15.8324, 'percent_change_1h': -0.98550536, 'percent_change_24h': -0.50851605, 'percent_change_7d': -11.0626581, 'percent_change_30d': -3.88793319, 'percent_change_60d': 4.80946485, 'percent_change_90d': 24.02564931, 'market_cap': 366952665512.2883, 'market_cap_dominance': 15.8287, 'fully_diluted_market_cap': 366952665512.29, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
825,Tether USDt,USDT,tether,83524,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,109469563907.17447,111941048614.43317,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 1.0005812625627117, 'volume_24h': 82483977268.99503, 'volume_change_24h': 19.9087, 'percent_change_1h': 0.01014971, 'percent_change_24h': 0.00727091, 'percent_change_7d': 0.12601949, 'percent_change_30d': 0.07220316, 'percent_change_60d': 0.05445536, 'percent_change_90d': 0.00101491, 'market_cap': 109533194466.43008, 'market_cap_dominance': 4.7248, 'fully_diluted_market_cap': 112006115755.22, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
1839,BNB,BNB,bnb,2151,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149533377.65618464,149533377.65618464,False,,4,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 556.4626584143278, 'volume_24h': 1305649999.0829337, 'volume_change_24h': -17.1628, 'percent_change_1h': -0.53973987, 'percent_change_24h': 0.80680201, 'percent_change_7d': -9.38025289, 'percent_change_30d': 9.40630399, 'percent_change_60d': 56.96696464, 'percent_change_90d': 76.61046372, 'market_cap': 83209740852.23416, 'market_cap_dominance': 3.5861, 'fully_diluted_market_cap': 83209740852.23, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,446816713.0179555,574285693.0865808,True,,5,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 144.4125385969922, 'volume_24h': 5895263918.60131, 'volume_change_24h': 26.1891, 'percent_change_1h': -1.73053146, 'percent_change_24h': 2.96187995, 'percent_change_7d': -13.47038992, 'percent_change_30d': -13.54636515, 'percent_change_60d': 27.55289327, 'percent_change_90d': 58.16313541, 'market_cap': 64525935814.48668, 'market_cap_dominance': 2.7834, 'fully_diluted_market_cap': 82934054818.57, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
3408,USDC,USDC,usd-coin,18560,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33212436037.59716,33212436037.59716,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",6,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 1.0001483855840474, 'volume_24h': 10867719294.68422, 'volume_change_24h': 20.1531, 'percent_change_1h': 0.01690247, 'percent_change_24h': 0.01601611, 'percent_change_7d': 0.0233801, 'percent_change_30d': 0.01996112, 'percent_change_60d': 0.01537318, 'percent_change_90d': -0.11273489, 'market_cap': 33217364284.316235, 'market_cap_dominance': 1.4328, 'fully_diluted_market_cap': 33217364284.32, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
52,XRP,XRP,xrp,1303,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55129144019.0,99987674482.0,False,,7,,,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 0.5004650516495507, 'volume_24h': 2045296457.893915, 'volume_change_24h': 28.0941, 'percent_change_1h': 0.13547812, 'percent_change_24h': -0.32912116, 'percent_change_7d': -15.58451854, 'percent_change_30d': -12.67125009, 'percent_change_60d': -10.40032536, 'percent_change_90d': -8.75607501, 'market_cap': 27590209908.864353, 'market_cap_dominance': 1.1891, 'fully_diluted_market_cap': 50046505164.96, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
11419,Toncoin,TON,toncoin,286,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3471124148.064161,5105436416.443809,True,,8,3414166606.0,21386819657.1307,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 6.264140601558768, 'volume_24h': 1121131951.4421165, 'volume_change_24h': 167.8032, 'percent_change_1h': -2.80923662, 'percent_change_24h': -0.49283905, 'percent_change_7d': -9.96952907, 'percent_change_30d': 53.5539529, 'percent_change_60d': 175.37584279, 'percent_change_90d': 177.94573422, 'market_cap': 21743609708.9398, 'market_cap_dominance': 0.9379, 'fully_diluted_market_cap': 31981171544.92, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
74,Dogecoin,DOGE,dogecoin,957,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143951696383.70526,143951696383.70526,True,,9,,,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 0.1510071569719258, 'volume_24h': 2130313974.787748, 'volume_change_24h': 3.0653, 'percent_change_1h': -1.12614977, 'percent_change_24h': 0.19426299, 'percent_change_7d': -22.30744273, 'percent_change_30d': 17.8729051, 'percent_change_60d': 71.98614227, 'percent_change_90d': 90.45285009, 'market_cap': 21737736412.189182, 'market_cap_dominance': 0.9368, 'fully_diluted_market_cap': 21737736412.19, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
2010,Cardano,ADA,cardano,1144,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35624670215.344,36798870281.388,False,,10,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 0.4673192483687229, 'volume_24h': 567282176.0712126, 'volume_change_24h': 23.499, 'percent_change_1h': -1.12284325, 'percent_change_24h': 2.4401095, 'percent_change_7d': -16.5607235, 'percent_change_30d': -19.8185391, 'percent_change_60d': -25.08095394, 'percent_change_90d': -8.7365825, 'market_cap': 16648094108.418188, 'market_cap_dominance': 0.7175, 'fully_diluted_market_cap': 21029366176.59, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
