timestamp,currency_pair,exchange_id,bid_size_l1,ask_size_l1,bid_price_l1,ask_price_l1,end_download_timestamp,knowledge_timestamp
1694618940000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:00+00:00,2023-09-13 15:29:00+00:00
1694618940500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:00.500000+00:00,2023-09-13 15:29:00.500000+00:00
1694618941000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:01+00:00,2023-09-13 15:29:01+00:00
1694618941500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:01.500000+00:00,2023-09-13 15:29:01.500000+00:00
1694618942000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:02+00:00,2023-09-13 15:29:02+00:00
1694618942500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:02.500000+00:00,2023-09-13 15:29:02.500000+00:00
1694618943000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:03+00:00,2023-09-13 15:29:03+00:00
1694618943500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:03.500000+00:00,2023-09-13 15:29:03.500000+00:00
1694618944000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:04+00:00,2023-09-13 15:29:04+00:00
1694618944500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:04.500000+00:00,2023-09-13 15:29:04.500000+00:00
1694618945000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:05+00:00,2023-09-13 15:29:05+00:00
1694618945500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:05.500000+00:00,2023-09-13 15:29:05.500000+00:00
1694618946000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:06+00:00,2023-09-13 15:29:06+00:00
1694618946500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:06.500000+00:00,2023-09-13 15:29:06.500000+00:00
1694618947000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:07+00:00,2023-09-13 15:29:07+00:00
1694618947500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:07.500000+00:00,2023-09-13 15:29:07.500000+00:00
1694618948000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:08+00:00,2023-09-13 15:29:08+00:00
1694618948500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:08.500000+00:00,2023-09-13 15:29:08.500000+00:00
1694618949000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:09+00:00,2023-09-13 15:29:09+00:00
1694618949500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:09.500000+00:00,2023-09-13 15:29:09.500000+00:00
1694618950000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:10+00:00,2023-09-13 15:29:10+00:00
1694618950500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:10.500000+00:00,2023-09-13 15:29:10.500000+00:00
1694618951000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:11+00:00,2023-09-13 15:29:11+00:00
1694618951500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:11.500000+00:00,2023-09-13 15:29:11.500000+00:00
1694618952000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:12+00:00,2023-09-13 15:29:12+00:00
1694618952500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:12.500000+00:00,2023-09-13 15:29:12.500000+00:00
1694618953000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:13+00:00,2023-09-13 15:29:13+00:00
1694618953500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:13.500000+00:00,2023-09-13 15:29:13.500000+00:00
1694618954000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:14+00:00,2023-09-13 15:29:14+00:00
1694618954500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:14.500000+00:00,2023-09-13 15:29:14.500000+00:00
1694618955000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:15+00:00,2023-09-13 15:29:15+00:00
1694618955500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:15.500000+00:00,2023-09-13 15:29:15.500000+00:00
1694618956000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:16+00:00,2023-09-13 15:29:16+00:00
1694618956500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:16.500000+00:00,2023-09-13 15:29:16.500000+00:00
1694618957000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:17+00:00,2023-09-13 15:29:17+00:00
1694618957500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:17.500000+00:00,2023-09-13 15:29:17.500000+00:00
1694618958000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:18+00:00,2023-09-13 15:29:18+00:00
1694618958500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:18.500000+00:00,2023-09-13 15:29:18.500000+00:00
1694618959000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:19+00:00,2023-09-13 15:29:19+00:00
1694618959500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:19.500000+00:00,2023-09-13 15:29:19.500000+00:00
1694618960000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:20+00:00,2023-09-13 15:29:20+00:00
1694618960500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:20.500000+00:00,2023-09-13 15:29:20.500000+00:00
1694618961000,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:21+00:00,2023-09-13 15:29:21+00:00
1694618961500,ETH_USDT,binance,22,25,31,10,2023-09-13 15:29:21.500000+00:00,2023-09-13 15:29:21.500000+00:00
