Topic,Time,Frequency
summer,Jan 2004,44
summer,Feb 2004,48
summer,Mar 2004,55
summer,Apr 2004,66
summer,May 2004,77
summer,Jun 2004,87
summer,Jul 2004,68
summer,Aug 2004,52
summer,Sep 2004,31
summer,Oct 2004,28
summer,Nov 2004,29
summer,Dec 2004,29
summer,Jan 2005,42
summer,Feb 2005,46
summer,Mar 2005,54
summer,Apr 2005,65
summer,May 2005,77
summer,Jun 2005,90
summer,Jul 2005,73
summer,Aug 2005,49
summer,Sep 2005,31
summer,Oct 2005,29
summer,Nov 2005,27
summer,Dec 2005,29
summer,Jan 2006,42
summer,Feb 2006,47
summer,Mar 2006,53
summer,Apr 2006,58
summer,May 2006,73
summer,Jun 2006,87
summer,Jul 2006,74
summer,Aug 2006,45
summer,Sep 2006,30
summer,Oct 2006,25
summer,Nov 2006,24
summer,Dec 2006,26
summer,Jan 2007,37
summer,Feb 2007,41
summer,Mar 2007,53
summer,Apr 2007,58
summer,May 2007,73
summer,Jun 2007,85
summer,Jul 2007,66
summer,Aug 2007,46
summer,Sep 2007,32
summer,Oct 2007,28
summer,Nov 2007,26
summer,Dec 2007,26
summer,Jan 2008,39
summer,Feb 2008,40
summer,Mar 2008,48
summer,Apr 2008,59
summer,May 2008,72
summer,Jun 2008,95
summer,Jul 2008,71
summer,Aug 2008,61
summer,Sep 2008,33
summer,Oct 2008,29
summer,Nov 2008,25
summer,Dec 2008,29
summer,Jan 2009,41
summer,Feb 2009,42
summer,Mar 2009,51
summer,Apr 2009,56
summer,May 2009,68
summer,Jun 2009,81
summer,Jul 2009,71
summer,Aug 2009,52
summer,Sep 2009,34
summer,Oct 2009,29
summer,Nov 2009,29
summer,Dec 2009,30
summer,Jan 2010,40
summer,Feb 2010,44
summer,Mar 2010,54
summer,Apr 2010,59
summer,May 2010,73
summer,Jun 2010,86
summer,Jul 2010,75
summer,Aug 2010,54
summer,Sep 2010,33
summer,Oct 2010,26
summer,Nov 2010,26
summer,Dec 2010,29
summer,Jan 2011,39
summer,Feb 2011,39
summer,Mar 2011,47
summer,Apr 2011,53
summer,May 2011,67
summer,Jun 2011,91
summer,Jul 2011,71
summer,Aug 2011,51
summer,Sep 2011,31
summer,Oct 2011,26
summer,Nov 2011,25
summer,Dec 2011,28
summer,Jan 2012,38
summer,Feb 2012,39
summer,Mar 2012,49
summer,Apr 2012,55
summer,May 2012,93
summer,Jun 2012,94
summer,Jul 2012,85
summer,Aug 2012,57
summer,Sep 2012,37
summer,Oct 2012,27
summer,Nov 2012,26
summer,Dec 2012,27
summer,Jan 2013,32
summer,Feb 2013,39
summer,Mar 2013,45
summer,Apr 2013,57
summer,May 2013,72
summer,Jun 2013,92
summer,Jul 2013,83
summer,Aug 2013,57
summer,Sep 2013,32
summer,Oct 2013,27
summer,Nov 2013,26
summer,Dec 2013,27
summer,Jan 2014,37
summer,Feb 2014,42
summer,Mar 2014,53
summer,Apr 2014,64
summer,May 2014,82
summer,Jun 2014,100
summer,Jul 2014,87
summer,Aug 2014,61
summer,Sep 2014,38
summer,Oct 2014,31
summer,Nov 2014,28
summer,Dec 2014,29
summer,Jan 2015,37
summer,Feb 2015,40
summer,Mar 2015,52
summer,Apr 2015,60
summer,May 2015,77
summer,Jun 2015,97
summer,Jul 2015,88
summer,Aug 2015,66
summer,Sep 2015,37
summer,Oct 2015,31
summer,Nov 2015,29
summer,Dec 2015,31
summer,Jan 2016,40
summer,Feb 2016,46
summer,Mar 2016,49
summer,Apr 2016,59
summer,May 2016,70
summer,Jun 2016,94
summer,Jul 2016,80
summer,Aug 2016,74
summer,Sep 2016,33
summer,Oct 2016,27
summer,Nov 2016,26
summer,Dec 2016,25
summer,Jan 2017,35
summer,Feb 2017,37
summer,Mar 2017,48
summer,Apr 2017,56
summer,May 2017,72
summer,Jun 2017,92
summer,Jul 2017,79
summer,Aug 2017,49
summer,Sep 2017,28
summer,Oct 2017,26
summer,Nov 2017,24
summer,Dec 2017,27
summer,Jan 2018,34
summer,Feb 2018,39
summer,Mar 2018,44
summer,Apr 2018,55
summer,May 2018,73
summer,Jun 2018,84
summer,Jul 2018,78
summer,Aug 2018,53
summer,Sep 2018,32
summer,Oct 2018,26
summer,Nov 2018,25
summer,Dec 2018,27
summer,Jan 2019,34
summer,Feb 2019,37
summer,Mar 2019,45
summer,Apr 2019,60
summer,May 2019,74
summer,Jun 2019,86
summer,Jul 2019,73
summer,Aug 2019,51
summer,Sep 2019,33
summer,Oct 2019,28
summer,Nov 2019,28
summer,Dec 2019,27
summer,Jan 2020,34
summer,Feb 2020,35
summer,Mar 2020,35
summer,Apr 2020,41
summer,May 2020,56
summer,Jun 2020,72
summer,Jul 2020,51
summer,Aug 2020,39
summer,Sep 2020,29
summer,Oct 2020,21
summer,Nov 2020,21
summer,Dec 2020,22
summer,Jan 2021,25
summer,Feb 2021,30
summer,Mar 2021,40
summer,Apr 2021,47
summer,May 2021,55
summer,Jun 2021,91
summer,Jul 2021,61
summer,Aug 2021,49
summer,Sep 2021,29
summer,Oct 2021,24
summer,Nov 2021,26
summer,Dec 2021,29
summer,Jan 2022,36
summer,Feb 2022,39
summer,Mar 2022,50
summer,Apr 2022,55
summer,May 2022,67
summer,Jun 2022,95
summer,Jul 2022,77
summer,Aug 2022,52
summer,Sep 2022,31
summer,Oct 2022,26
summer,Nov 2022,26
summer,Dec 2022,27
summer,Jan 2023,37
summer,Feb 2023,37
summer,Mar 2023,43
