total,week,days,Crypto_Name,Extension,Sun,Mon,Tue,Wed,Thur,Fri,Sat
124,1650153600,"{1,19,34,26,14,25,5}",solana,/stats/commit_activity,1,19,34,26,14,25,5
131,1650758400,"{1,25,18,25,37,16,9}",solana,/stats/commit_activity,1,25,18,25,37,16,9
106,1651363200,"{4,20,22,24,16,16,4}",solana,/stats/commit_activity,4,20,22,24,16,16,4
10,1651968000,"{0,0,0,7,3,0,0}",solana,/stats/commit_activity,0,0,0,7,3,0,0
103,1652572800,"{0,11,15,21,14,35,7}",solana,/stats/commit_activity,0,11,15,21,14,35,7
51,1653177600,"{19,2,2,7,21,0,0}",solana,/stats/commit_activity,19,2,2,7,21,0,0
69,1653782400,"{0,7,9,20,13,17,3}",solana,/stats/commit_activity,0,7,9,20,13,17,3
60,1654387200,"{1,10,13,13,9,12,2}",solana,/stats/commit_activity,1,10,13,13,9,12,2
62,1654992000,"{4,14,13,11,8,8,4}",solana,/stats/commit_activity,4,14,13,11,8,8,4
99,1655596800,"{3,4,24,26,19,15,8}",solana,/stats/commit_activity,3,4,24,26,19,15,8
79,1656201600,"{2,18,17,19,12,10,1}",solana,/stats/commit_activity,2,18,17,19,12,10,1
83,1656806400,"{0,1,19,24,23,13,3}",solana,/stats/commit_activity,0,1,19,24,23,13,3
78,1657411200,"{7,22,17,9,8,10,5}",solana,/stats/commit_activity,7,22,17,9,8,10,5
76,1658016000,"{4,9,16,15,16,12,4}",solana,/stats/commit_activity,4,9,16,15,16,12,4
53,1658620800,"{4,12,8,10,6,11,2}",solana,/stats/commit_activity,4,12,8,10,6,11,2
66,1659225600,"{3,16,10,9,9,15,4}",solana,/stats/commit_activity,3,16,10,9,9,15,4
84,1659830400,"{4,13,20,19,14,9,5}",solana,/stats/commit_activity,4,13,20,19,14,9,5
82,1660435200,"{8,11,16,8,16,17,6}",solana,/stats/commit_activity,8,11,16,8,16,17,6
95,1661040000,"{1,25,25,17,11,15,1}",solana,/stats/commit_activity,1,25,25,17,11,15,1
60,1661644800,"{1,4,21,14,13,6,1}",solana,/stats/commit_activity,1,4,21,14,13,6,1
76,1662249600,"{0,3,26,21,10,10,6}",solana,/stats/commit_activity,0,3,26,21,10,10,6
71,1662854400,"{1,13,11,10,12,10,14}",solana,/stats/commit_activity,1,13,11,10,12,10,14
70,1663459200,"{3,8,7,13,16,12,11}",solana,/stats/commit_activity,3,8,7,13,16,12,11
