Topic,Time,Frequency
ipad,Jan 2004,0
ipad,Feb 2004,0
ipad,Mar 2004,0
ipad,Apr 2004,0
ipad,May 2004,0
ipad,Jun 2004,0
ipad,Jul 2004,0
ipad,Aug 2004,0
ipad,Sep 2004,0
ipad,Oct 2004,0
ipad,Nov 2004,0
ipad,Dec 2004,0
ipad,Jan 2005,0
ipad,Feb 2005,0
ipad,Mar 2005,0
ipad,Apr 2005,0
ipad,May 2005,0
ipad,Jun 2005,0
ipad,Jul 2005,0
ipad,Aug 2005,0
ipad,Sep 2005,0
ipad,Oct 2005,0
ipad,Nov 2005,0
ipad,Dec 2005,0
ipad,Jan 2006,0
ipad,Feb 2006,0
ipad,Mar 2006,0
ipad,Apr 2006,0
ipad,May 2006,0
ipad,Jun 2006,0
ipad,Jul 2006,0
ipad,Aug 2006,0
ipad,Sep 2006,0
ipad,Oct 2006,0
ipad,Nov 2006,0
ipad,Dec 2006,0
ipad,Jan 2007,0
ipad,Feb 2007,0
ipad,Mar 2007,0
ipad,Apr 2007,0
ipad,May 2007,0
ipad,Jun 2007,0
ipad,Jul 2007,0
ipad,Aug 2007,0
ipad,Sep 2007,0
ipad,Oct 2007,0
ipad,Nov 2007,0
ipad,Dec 2007,0
ipad,Jan 2008,0
ipad,Feb 2008,0
ipad,Mar 2008,0
ipad,Apr 2008,0
ipad,May 2008,0
ipad,Jun 2008,0
ipad,Jul 2008,0
ipad,Aug 2008,0
ipad,Sep 2008,0
ipad,Oct 2008,0
ipad,Nov 2008,0
ipad,Dec 2008,0
ipad,Jan 2009,0
ipad,Feb 2009,0
ipad,Mar 2009,0
ipad,Apr 2009,0
ipad,May 2009,0
ipad,Jun 2009,0
ipad,Jul 2009,0
ipad,Aug 2009,0
ipad,Sep 2009,0
ipad,Oct 2009,0
ipad,Nov 2009,0
ipad,Dec 2009,0
ipad,Jan 2010,0
ipad,Feb 2010,0
ipad,Mar 2010,0
ipad,Apr 2010,0
ipad,May 2010,0
ipad,Jun 2010,0
ipad,Jul 2010,38
ipad,Aug 2010,36
ipad,Sep 2010,39
ipad,Oct 2010,37
ipad,Nov 2010,47
ipad,Dec 2010,57
ipad,Jan 2011,51
ipad,Feb 2011,49
ipad,Mar 2011,77
ipad,Apr 2011,59
ipad,May 2011,58
ipad,Jun 2011,59
ipad,Jul 2011,59
ipad,Aug 2011,61
ipad,Sep 2011,53
ipad,Oct 2011,68
ipad,Nov 2011,69
ipad,Dec 2011,86
ipad,Jan 2012,72
ipad,Feb 2012,67
ipad,Mar 2012,100
ipad,Apr 2012,75
ipad,May 2012,68
ipad,Jun 2012,70
ipad,Jul 2012,68
ipad,Aug 2012,69
ipad,Sep 2012,76
ipad,Oct 2012,85
ipad,Nov 2012,93
ipad,Dec 2012,94
ipad,Jan 2013,80
ipad,Feb 2013,71
ipad,Mar 2013,69
ipad,Apr 2013,60
ipad,May 2013,59
ipad,Jun 2013,60
ipad,Jul 2013,58
ipad,Aug 2013,61
ipad,Sep 2013,62
ipad,Oct 2013,66
ipad,Nov 2013,75
ipad,Dec 2013,80
ipad,Jan 2014,63
ipad,Feb 2014,54
ipad,Mar 2014,51
ipad,Apr 2014,49
ipad,May 2014,46
ipad,Jun 2014,45
ipad,Jul 2014,47
ipad,Aug 2014,47
ipad,Sep 2014,50
ipad,Oct 2014,50
ipad,Nov 2014,53
ipad,Dec 2014,54
ipad,Jan 2015,44
ipad,Feb 2015,39
ipad,Mar 2015,37
ipad,Apr 2015,34
ipad,May 2015,33
ipad,Jun 2015,34
ipad,Jul 2015,33
ipad,Aug 2015,33
ipad,Sep 2015,40
ipad,Oct 2015,31
ipad,Nov 2015,41
ipad,Dec 2015,40
ipad,Jan 2016,34
ipad,Feb 2016,30
ipad,Mar 2016,30
ipad,Apr 2016,29
ipad,May 2016,27
ipad,Jun 2016,26
ipad,Jul 2016,27
ipad,Aug 2016,27
ipad,Sep 2016,29
ipad,Oct 2016,26
ipad,Nov 2016,30
ipad,Dec 2016,31
ipad,Jan 2017,0
ipad,Feb 2017,0
ipad,Mar 2017,0
ipad,Apr 2017,0
ipad,May 2017,0
ipad,Jun 2017,0
ipad,Jul 2017,0
ipad,Aug 2017,0
ipad,Sep 2017,0
ipad,Oct 2017,0
ipad,Nov 2017,0
ipad,Dec 2017,0
ipad,Jan 2018,0
ipad,Feb 2018,0
ipad,Mar 2018,0
ipad,Apr 2018,0
ipad,May 2018,0
ipad,Jun 2018,0
ipad,Jul 2018,0
ipad,Aug 2018,0
ipad,Sep 2018,0
ipad,Oct 2018,0
ipad,Nov 2018,0
ipad,Dec 2018,0
ipad,Jan 2019,0
ipad,Feb 2019,0
ipad,Mar 2019,0
ipad,Apr 2019,0
ipad,May 2019,0
ipad,Jun 2019,0
ipad,Jul 2019,0
ipad,Aug 2019,0
ipad,Sep 2019,0
ipad,Oct 2019,0
ipad,Nov 2019,0
ipad,Dec 2019,0
ipad,Jan 2020,0
ipad,Feb 2020,0
ipad,Mar 2020,0
ipad,Apr 2020,0
ipad,May 2020,0
ipad,Jun 2020,0
ipad,Jul 2020,0
ipad,Aug 2020,0
ipad,Sep 2020,0
ipad,Oct 2020,0
ipad,Nov 2020,0
ipad,Dec 2020,0
ipad,Jan 2021,0
ipad,Feb 2021,0
ipad,Mar 2021,0
ipad,Apr 2021,0
ipad,May 2021,0
ipad,Jun 2021,0
ipad,Jul 2021,0
ipad,Aug 2021,0
ipad,Sep 2021,0
ipad,Oct 2021,0
ipad,Nov 2021,0
ipad,Dec 2021,0
ipad,Jan 2022,0
ipad,Feb 2022,0
ipad,Mar 2022,0
ipad,Apr 2022,0
ipad,May 2022,0
ipad,Jun 2022,0
ipad,Jul 2022,0
ipad,Aug 2022,0
ipad,Sep 2022,0
ipad,Oct 2022,0
ipad,Nov 2022,0
ipad,Dec 2022,0
ipad,Jan 2023,0
ipad,Feb 2023,0
ipad,Mar 2023,0
ipad,Apr 2023,21
