screenName,tags,avatar,followersCount,friendsCount,lang,lastSeen,tweetId,id,friends
"""""""camvaleska""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/727588951171674112/eUWvlDgF_normal.jpg""""""",3012,977,"""""""en""""""",1472264461130,"""""""769302434405572608""""""",82823,"[20241, 26779, 28737, 71597, 68647, 65249, 54813, 76070, 87628, 85885]"
"""""""unareid14""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/760091907980689408/ev1cjaWX_normal.jpg""""""",828,471,"""""""en""""""",1472264323580,"""""""769303240445943808""""""",23526,"[37000, 87755]"
"""""""nikki_nkr""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/753070118561718272/kZsoETOO_normal.jpg""""""",346,271,"""""""en""""""",1472258558820,"""""""769298506112638977""""""",26590,"[47359, 94038, 28887, 58357, 62781, 95756, 71397]"
"""""""itsathirahnasir""""""","""[ """"#happyjungkookday"""" ]""","""""""http://pbs.twimg.com/profile_images/770621621820239872/OfXKSpPK_normal.jpg""""""",186,114,"""""""en""""""",1472669105070,"""""""771055063825387520""""""",97667,"[37460, 84837, 50155]"
"""""""_ughcrying""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/766451757790527488/O_1SIYkh_normal.jpg""""""",256,220,"""""""en""""""",1472266228272,"""""""769305146392064000""""""",48114,[]
"""""""LongstrethLAX""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/666740966368395264/A7DoYL9L_normal.jpg""""""",884,542,"""""""en""""""",1472266692026,"""""""769305686807228419""""""",29703,"[29874, 34941, 93041, 12275, 94452, 52658]"
"""""""suggscure""""""","""[ """"#happybirthdaydylanobrien"""" ]""","""""""http://pbs.twimg.com/profile_images/762537671306584068/aFoCgzxw_normal.jpg""""""",980,315,"""""""en""""""",1472269674725,"""""""769308667707400192""""""",76070,"[89663, 29417, 60709, 12275, 94452, 63336, 50776]"
"""""""dizzy__dontae""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/638216276184207360/Cf3tZXzs_normal.jpg""""""",1057,902,"""""""en""""""",1472259330343,"""""""769299044149723136""""""",25063,[]
"""""""SLBistro""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/663746620891209729/Cpzc46tA_normal.png""""""",716,206,"""""""en""""""",1472268137756,"""""""769306939520126976""""""",76425,"[15113, 72669, 16365, 31727, 94574, 90627]"
"""""""nicole_kayden""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768547086149222404/doZeiSiN_normal.jpg""""""",1704,998,"""""""en""""""",1472272596891,"""""""769311417556017152""""""",93033,"[28737, 12354, 33022, 32662, 28938, 96293, 47359, 87755, 59241, 69836]"
