propertycode,Minimum,Maximum
31,219.52,374.73
56,73.46,149.51
97,259.76,468.83
138,169.66,321.84
147,122.9,226.18
150,98.2,115.08
162,123.16,371.71
287,75.1,189.88
333,46.8,46.8
378,235.16,951.9
383,78.4,180.56
441,70.33,209.97
515,124.76,603.14
541,81.31,252.93
560,245.0,333.77
597,175.43,194.92
607,86.33,129.06
638,59.14,197.45
652,68.28,1004.63
654,88.7,155.22
658,64.41,104.54
684,110.87,383.14
715,60.28,207.96
723,51.53,165.78
729,87.19,118.4
793,126.71,142.55
822,62.93,155.72
834,220.67,656.86
858,41.86,141.65
861,82.73,110.61
920,84.47,110.87
937,93.81,148.43
944,112.42,441.74
989,65.29,153.09
997,83.77,181.48
1072,49.63,91.87
1130,169.63,322.36
1145,58.39,159.44
1179,192.13,311.44
1261,54.57,144.67
1291,56.96,148.69
1324,161.85,270.25
1328,80.77,195.55
1353,94.43,193.69
1359,117.81,319.09
1429,152.59,338.56
1454,82.57,210.28
1456,116.36,657.84
1458,136.55,224.41
1483,126.78,261.66
1504,112.52,310.43
1506,63.29,162.34
1509,107.21,231.07
1520,159.74,249.43
1534,75.35,75.35
1549,79.88,143.61
1605,209.95,347.4
1706,186.49,413.24
1786,113.95,2556.38
1795,85.92,85.92
1803,121.37,137.07
1830,60.45,125.58
1854,115.67,333.53
1908,64.66,124.58
1928,65.21,149.94
1964,105.19,407.53
1999,53.54,176.82
2016,151.87,229.81
2057,42.76,126.71
2062,81.11,253.16
2076,126.75,316.51
2095,95.52,246.14
2145,85.39,346.6
2165,63.98,142.06
2202,93.93,342.75
2243,78.12,169.79
2248,90.42,246.35
2301,57.44,461.23
2352,58.07,86.76
2385,67.58,189.56
2398,47.31,148.88
2409,343.6,470.31
2464,87.35,277.58
2474,43.35,6436.69
2526,244.2,702.24
2579,89.35,211.82
2644,69.32,117.09
2685,92.08,686.35
2698,76.35,246.14
2718,74.0,575.5
2756,67.58,135.88
2766,100.53,366.95
2883,78.14,162.61
2898,92.02,155.95
2962,168.87,316.52
2993,90.23,120.64
3002,76.03,137.27
3039,225.14,708.37
3048,90.72,129.59
3050,85.81,163.83
3061,104.79,452.3
3125,40.19,352.8
3133,86.92,153.55
3144,254.54,347.3
3147,62.38,221.52
3156,38.8,93.98
3199,112.99,1050.67
3268,77.93,261.87
3279,129.34,135.17
3321,68.97,114.18
3330,45.83,120.38
3473,228.08,495.22
3547,103.58,195.54
3603,65.6,94.88
3627,76.11,225.46
3654,65.51,182.22
3689,45.21,142.66
3690,84.02,198.42
3698,77.12,95.67
3780,68.8,214.08
3817,46.27,105.48
3836,66.21,126.19
3924,57.72,606.82
4029,85.66,129.48
4035,115.71,287.32
4050,121.17,225.05
4068,207.96,248.15
4099,172.35,697.52
4153,74.76,135.94
4192,138.33,300.94
4247,123.23,296.82
4282,190.07,295.66
4285,56.26,163.07
4289,72.3,112.58
4298,142.55,191.19
4345,78.57,107.19
4350,190.61,302.82
4367,83.4,118.78
4394,110.87,570.2
4429,46.57,154.17
4432,99.46,975.26
4486,70.33,80.37
4533,100.08,253.17
4556,59.12,128.98
4606,119.23,420.94
4623,65.99,91.33
4679,131.32,213.23
4731,96.46,105.58
4770,52.24,109.5
4837,47.91,155.72
4900,73.6,195.64
4926,202.62,535.24
5009,49.87,211.18
5036,109.4,182.34
5081,137.27,174.23
5135,192.07,373.94
5182,33.26,105.59
5186,113.52,255.18
5211,174.75,255.18
5334,190.07,285.1
5344,551.99,2602.85
5364,74.97,109.82
5485,102.48,144.67
5511,30.85,82.38
5525,104.48,200.93
5532,184.78,348.45
5553,163.96,203.24
5623,176.34,355.67
5626,107.18,253.42
5633,95.7,255.55
5663,73.61,196.84
5729,44.25,105.48
5810,253.8,617.42
5820,147.03,405.47
5822,122.68,214.2
5828,80.37,185.85
5841,81.78,190.88
5876,70.33,210.13
5912,76.24,142.55
6058,80.98,394.51
6081,136.2,1785.47
6090,74.97,138.33
6166,88.8,148.88
6177,56.58,1243.94
6194,305.59,575.96
6196,164.35,273.48
6248,71.81,120.38
6255,122.89,442.04
6287,98.2,312.98
6288,61.75,142.54
6447,69.32,147.68
6508,47.93,83.09
6538,61.52,129.98
6551,145.39,145.39
6596,36.62,76.86
6670,58.03,134.62
6692,75.01,130.6
6711,88.81,208.19
6723,91.87,168.78
6759,99.25,356.82
6767,92.73,222.64
6825,104.48,236.09
7046,39.7,70.97
7063,75.18,171.32
7117,88.7,198.66
7173,112.52,247.36
7179,36.21,86.33
7181,78.76,453.09
7182,58.27,153.71
7207,69.09,184.63
7225,51.81,121.73
7251,56.8,112.58
7277,110.33,143.15
7298,52.49,75.35
7327,89.41,294.35
7332,71.8,253.72
7349,70.87,230.94
7359,329.52,506.33
7386,65.01,262.36
7411,54.19,65.83
7418,89.75,147.78
7453,62.38,151.7
7488,163.67,495.23
7502,68.94,140.62
7556,70.17,136.42
7638,41.99,119.55
7645,142.56,164.66
7673,141.67,153.67
7740,87.91,182.84
7763,176.32,307.42
7856,54.64,111.93
7943,33.86,72.02
7950,56.19,95.53
7975,881.48,1055.92
7991,88.86,340.59
8029,90.23,264.08
8042,121.64,214.36
8074,80.98,228.83
8137,105.91,365.93
8252,163.55,263.51
8306,81.66,170.9
8385,66.3,72.86
8394,74.97,231.0
8410,190.03,219.99
8414,41.18,123.54
8588,93.27,152.99
8599,171.79,506.33
8634,182.68,791.94
8636,105.22,180.69
8644,68.41,189.41
8702,125.58,386.78
8729,277.71,685.29
8753,130.93,222.8
8937,187.58,473.94
8988,41.05,67.31
9047,236.79,639.35
9061,71.24,148.91
9199,38.68,89.44
9271,175.81,340.04
9289,128.83,289.32
9347,120.18,345.47
9387,93.98,205.9
9410,66.52,137.42
9425,40.13,127.39
9427,125.66,239.17
9451,74.97,232.3
11019,66.69,193.47
11034,166.31,247.09
11044,108.97,564.62
11045,237.58,778.24
11054,266.75,399.14
11058,238.11,486.57
11062,176.95,516.35
11079,89.86,322.88
11093,165.76,266.23
11104,212.98,412.9
11117,116.23,179.59
11154,106.95,164.22
11203,230.91,244.58
11223,56.46,938.34
11250,47.15,197.91
11281,55.25,157.22
11283,90.42,576.66
11295,157.97,253.17
11314,147.64,359.65
11324,89.66,182.44
11348,102.6,308.84
11369,84.0,196.91
11389,108.44,228.04
11423,57.33,277.27
11435,90.42,160.74
11449,147.32,261.79
11511,78.17,124.21
11512,65.11,7293.06
11522,60.28,192.89
11538,71.27,180.56
11544,70.91,151.0
11546,67.32,369.26
11552,109.82,165.78
11560,121.35,371.42
11561,60.82,176.13
11567,152.05,268.21
11570,71.8,122.49
11571,83.47,303.23
11574,80.24,239.7
11582,59.87,209.54
11591,135.16,236.53
11600,291.7,482.13
11621,80.77,269.26
42465,62.08,127.43
42468,60.87,121.43
42475,105.41,241.04
42486,68.71,138.63
42507,53.05,114.73
42508,73.91,289.32
42536,59.82,104.15
42539,102.4,178.19
42540,54.75,115.41
42547,44.35,129.31
42559,146.03,342.06
42597,106.48,212.75
42619,130.44,515.49
42627,91.42,209.97
42631,101.61,205.8
42644,62.75,150.52
42667,45.21,1428.05
42670,155.0,261.72
42707,209.58,517.38
42716,48.02,110.51
42735,36.27,101.17
42826,137.65,230.31
42917,82.48,159.74
42956,54.32,124.73
42980,99.49,969.59
42988,143.96,600.77
43109,152.76,199.92
43119,110.58,265.82
43128,40.02,77.16
43131,66.31,72.33
43195,171.79,227.05
43198,124.59,305.16
43252,141.6,558.48
43257,38.07,425.03
43304,85.53,250.98
43311,45.21,90.57
43340,93.9,298.15
43352,110.35,303.93
43358,75.08,104.54
43369,89.75,155.22
44627,51.23,60.28
44683,58.27,114.53
44685,94.29,273.56
44701,83.38,196.91
44706,40.18,119.55
44707,45.4,299.31
44710,98.55,167.27
44715,32.73,146.77
44716,70.9,225.04
44717,86.58,130.93
44721,58.39,129.88
44726,85.53,151.52
44730,36.8,76.18
44731,97.15,175.28
44738,46.57,51.74
44744,58.34,234.41
44745,71.27,121.43
44751,73.91,167.89
44753,74.13,159.24
44760,90.22,151.04
44763,42.76,95.03
44764,83.41,172.11
44765,84.48,101.34
44768,61.24,130.93
44769,75.08,138.33
44773,93.03,225.96
44784,58.92,411.81
44786,82.57,179.42
44789,88.7,125.65
44801,70.01,209.07
44802,61.77,268.21
44808,68.64,105.59
44812,55.97,185.85
44825,73.91,153.1
44828,90.28,161.56
44969,177.23,277.32
45005,85.76,188.27
45032,52.8,68.64
45041,78.14,87.63
45042,103.91,567.12
45046,285.55,346.13
45056,135.63,349.61
45059,68.31,200.02
45070,42.87,83.63
47814,68.63,175.71
47816,90.99,185.86
47890,123.54,248.14
47902,70.91,130.93
47907,47.16,128.83
47913,44.35,110.34
47919,110.87,153.1
47930,73.91,131.99
47939,79.88,178.45
47955,200.93,1690.79
47959,95.03,491.0
47965,81.31,147.71
47983,190.07,316.78
47996,122.59,231.25
48001,58.07,93.98
48002,131.99,520.39
48003,61.24,277.08
48092,84.48,195.35
48101,60.94,128.29
48115,58.34,220.69
48116,77.85,211.07
48125,114.64,225.15
48147,437.9,673.9
48158,57.02,156.28
48160,39.18,99.46
48171,93.55,230.2
48179,45.2,173.18
48186,110.13,200.63
48188,43.09,64.64
48197,106.65,229.13
48203,94.08,109.82
48206,288.98,424.46
48208,158.67,678.84
48210,140.91,321.34
48223,201.89,434.31
48233,63.36,84.48
48259,69.48,156.28
48274,115.1,189.01
48296,59.13,138.51
48322,83.42,173.18
48325,61.77,178.45
48728,55.59,186.9
48730,56.07,92.91
48731,193.58,273.48
48741,83.41,93.98
48760,198.52,373.43
48776,54.84,133.23
48803,120.55,202.94
48812,110.87,252.37
48818,67.31,139.79
48822,84.39,143.66
48823,93.98,161.56
