Date,TouristNumber
33604,8414
33635,9767
33664,13805
33695,12987
33725,32190
33756,46383
33786,57570
33817,52261
33848,30125
33878,17522
33909,12651
33939,7285
33970,7939
34001,9283
34029,12934
34060,13432
34090,28900
34121,43848
34151,54320
34182,49702
34213,32182
34243,17691
34274,11833
34304,8146
34335,8847
34366,8614
34394,12169
34425,14481
34455,30002
34486,52654
34516,60910
34547,47948
34578,30847
34608,15916
34639,12785
34669,8307
34700,8584
34731,8719
34759,17108
34790,14771
34820,31103
34851,45349
34881,52238
34912,41221
34943,27665
34973,18433
35004,10875
35034,7228
35065,7371
35096,8921
35125,12462
35156,11772
35186,29342
35217,42663
35247,49202
35278,47947
35309,25626
35339,14684
35370,10979
35400,6808
35431,7415
35462,8881
35490,11768
35521,11469
35551,24840
35582,41663
35612,57045
35643,47552
35674,29737
35704,15763
35735,10776
35765,7815
35796,8404
35827,9704
35855,13326
35886,11136
35916,24642
35947,55157
35977,55844
36008,47127
36039,30434
36069,15558
36100,10571
36130,7380
36161,7377
36192,7361
36220,11511
36251,12852
36281,28128
36312,46405
36342,54063
36373,45320
36404,31033
36434,18382
36465,14499
36495,9147
36526,8980
36557,11120
36586,12918
36617,13286
36647,28798
36678,56459
36708,62448
36739,49569
36770,30584
36800,18436
36831,14724
36861,11649
36892,10476
36923,11094
36951,15287
36982,16715
37012,31812
37043,60994
37073,64896
37104,58104
37135,27488
37165,14305
37196,11199
37226,8179
37257,9850
37288,9938
37316,13031
37347,15918
37377,29587
37408,54242
37438,49582
37469,45403
37500,29710
37530,15371
37561,12386
37591,9722
37622,9489
37653,9614
37681,13019
37712,13424
37742,27830
37773,43621
37803,57010
37834,48789
37865,33242
37895,16594
37926,16044
37956,11098
37987,11842
38018,11223
38047,15963
38078,17246
38108,30106
38139,53155
38169,59479
38200,56108
38231,30013
38261,20966
38292,17428
38322,13999
38353,12338
38384,12286
38412,18072
38443,21215
38473,34937
38504,46092
38534,62506
38565,58676
38596,41327
38626,22128
38657,19327
38687,15291
38718,13106
38749,12740
38777,20209
38808,21295
38838,39732
38869,70528
38899,63013
38930,56724
38961,38782
38991,24640
39022,20954
39052,16728
39083,13319
39114,12862
39142,18250
39173,20049
39203,32054
39234,44154
39264,53667
39295,53315
39326,34394
39356,24398
39387,19323
39417,15090
39448,12378
39479,14087
39508,17213
39539,21058
39569,32541
39600,41465
39630,54774
39661,46913
39692,34062
39722,23399
39753,20691
39783,13114
39814,10930
39845,12184
39873,15920
39904,19076
39934,33115
39965,44528
39995,56094
40026,49274
40057,37426
40087,23464
40118,17849
40148,26015
40179,12064
40210,11990
40238,16243
40269,18196
40299,34192
40330,44922
40360,63800
40391,62313
40422,36428
40452,30162
40483,20102
40513,16374
40544,13609
40575,14386
40603,19980
40634,23672
40664,43832
40695,57579
40725,61226
40756,51320
40787,38122
40817,27210
40848,20289
40878,15533
40909,13822
40940,13669
40969,20686
41000,21505
41030,42213
41061,61807
41091,66723
41122,58573
41153,39311
41183,26704
41214,20918
41244,16665
41275,14435
41306,14024
41334,20637
41365,25723
41395,48097
41426,61712
41456,65568
41487,73357
41518,41881
41548,25587
41579,21752
41609,16986
41640,15292
41671,17430
41699,21284
41730,23174
41760,47387
41791,64508
41821,70482
41852,63325
41883,43456
41913,30639
41944,22661
41974,22941
42005,16312
42036,16139
42064,24687
42095,31056
42125,54275
42156,80087
42186,84381
42217,82593
42248,53472
42278,30361
42309,25436
42339,23417
