,category,merchant_name
0,gas_transport,"Tillman, Dickinson and Labadie"
1,gas_transport,Kuvalis Ltd
2,gas_transport,"Robel, Cummerata and Prosacco"
3,gas_transport,Bernhard Inc
4,gas_transport,Kling Inc
5,gas_transport,Rodriguez Group
6,gas_transport,Brekke and Sons
7,gas_transport,"Raynor, Reinger and Hagenes"
8,gas_transport,Erdman-Kertzmann
9,gas_transport,Bartoletti-Wunsch
10,gas_transport,"Schaefer, Maggio and Daugherty"
11,gas_transport,"Streich, Hansen and Veum"
12,gas_transport,Friesen-D'Amore
13,gas_transport,Parisian and Sons
14,gas_transport,"Schaefer, McGlynn and Bosco"
15,gas_transport,"Reilly, Heaney and Cole"
16,gas_transport,Bins-Rice
17,gas_transport,Prohaska-Murray
18,gas_transport,Kutch LLC
19,gas_transport,Corwin-Collins
20,gas_transport,Sporer Inc
21,gas_transport,Heller-Langosh
22,gas_transport,Torp-Labadie
23,gas_transport,"Eichmann, Bogan and Rodriguez"
24,gas_transport,"Stroman, Hudson and Erdman"
25,gas_transport,Cummings LLC
26,gas_transport,"Greenholt, Jacobi and Gleason"
27,gas_transport,Mraz-Herzog
28,gas_transport,"Olson, Becker and Koch"
29,gas_transport,"Raynor, Feest and Miller"
30,gas_transport,Ledner-Pfannerstill
31,gas_transport,Cummerata-Jones
32,gas_transport,Emard Inc
33,gas_transport,Luettgen PLC
34,gas_transport,Huels-Nolan
35,gas_transport,"Zieme, Bode and Dooley"
36,gas_transport,Conroy-Cruickshank
37,gas_transport,Harber Inc
38,gas_transport,Koss and Sons
39,gas_transport,"Kutch, Hermiston and Farrell"
40,gas_transport,Huels-Hahn
41,gas_transport,Harris Inc
42,gas_transport,"Connelly, Reichert and Fritsch"
43,gas_transport,"Lind, Huel and McClure"
44,gas_transport,Schmitt Inc
45,gas_transport,Marks Inc
46,gas_transport,Berge LLC
47,gas_transport,"Christiansen, Goyette and Schamberger"
48,gas_transport,Friesen-Stamm
49,gas_transport,"Jenkins, Hauck and Friesen"
50,grocery_net,Hills-Olson
51,grocery_net,VonRueden Group
52,grocery_net,Murray Ltd
53,grocery_net,"Bernier, Streich and Jewess"
54,grocery_net,"Kohler, Lindgren and Koelpin"
55,grocery_net,"Harris, Gusikowski and Heaney"
56,grocery_net,Wiegand-Lowe
57,grocery_net,Ortiz Group
58,grocery_net,Paucek-Wiza
59,grocery_net,Roob LLC
60,grocery_net,Bahringer-Larson
61,grocery_net,McCullough Group
62,grocery_net,Shields Inc
63,grocery_net,"Swaniawski, Bahringer and Ledner"
64,grocery_net,Collier Inc
65,grocery_net,"Adams, Kovacek and Kuhlman"
66,grocery_net,Dach-Borer
67,grocery_net,Cassin-Harvey
68,grocery_net,Hintz-Bruen
69,grocery_net,"Johnston, Nikolaus and Maggio"
70,grocery_net,Smitham-Boehm
71,grocery_net,Kutch-Hegmann
72,grocery_net,Spinka-Welch
73,grocery_net,Wuckert-Walter
74,grocery_net,"Towne, Walker and Borer"
75,grocery_net,Spinka Inc
76,grocery_net,Kutch Group
77,grocery_net,"Rutherford, Homenick and Bergstrom"
78,grocery_net,Cummings Group
79,grocery_net,Pfeffer LLC
80,grocery_net,Runolfsson and Sons
81,grocery_net,Jaskolski-Dibbert
82,grocery_net,Rowe-Vandervort
83,grocery_net,Skiles-Ankunding
84,grocery_net,Trantow PLC
85,grocery_net,Emmerich-Luettgen
86,grocery_net,Rempel PLC
87,grocery_net,Smitham-Schiller
88,grocery_net,"Ferry, Reichel and DuBuque"
89,grocery_net,Kemmer-Reinger
90,grocery_net,Funk Group
91,grocery_net,Morar Inc
92,grocery_net,Gutmann Ltd
93,grocery_net,Dicki Ltd
94,grocery_net,Kling-Grant
95,grocery_net,Heller-Abshire
96,grocery_net,"Stokes, Christiansen and Sipes"
97,grocery_net,"Swift, Bradtke and Marquardt"
98,grocery_net,"Tromp, Kerluke and Glover"
99,grocery_net,"Morissette, Weber and Wiegand"
100,grocery_pos,Padberg-Welch
101,grocery_pos,Murray-Smitham
102,grocery_pos,Kuhic Inc
103,grocery_pos,Cartwright-Harris
104,grocery_pos,Kiehn-Emmerich
105,grocery_pos,Koepp-Parker
106,grocery_pos,"Mosciski, Gislason and Mertz"
107,grocery_pos,Auer-Mosciski
108,grocery_pos,"Kovacek, Dibbert and Ondricka"
109,grocery_pos,Lockman Ltd
110,grocery_pos,Rutherford-Mertz
111,grocery_pos,"Goldner, Kovacek and Abbott"
112,grocery_pos,Bailey-Morar
113,grocery_pos,Koepp-Witting
114,grocery_pos,Miller-Hauck
115,grocery_pos,Bradtke PLC
116,grocery_pos,"Schoen, Kuphal and Nitzsche"
117,grocery_pos,Stracke-Lemke
118,grocery_pos,Deckow-O'Conner
119,grocery_pos,Doyle Ltd
120,grocery_pos,"Casper, Hand and Zulauf"
121,grocery_pos,Wolf Inc
122,grocery_pos,Rau and Sons
123,grocery_pos,Kutch and Sons
124,grocery_pos,DuBuque LLC
125,grocery_pos,Bauch-Raynor
126,grocery_pos,Kunze Inc
127,grocery_pos,Kilback LLC
128,grocery_pos,"Schultz, Simonis and Little"
129,grocery_pos,O'Keefe-Hudson
130,grocery_pos,Hackett-Lueilwitz
131,grocery_pos,Barton Inc
132,grocery_pos,Goodwin-Nitzsche
133,grocery_pos,Kiehn Inc
134,grocery_pos,"Schumm, Bauch and Ondricka"
135,grocery_pos,Heidenreich PLC
136,grocery_pos,Hudson-Ratke
137,grocery_pos,Vandervort-Funk
138,grocery_pos,Schamberger-O'Keefe
139,grocery_pos,"Huel, Hammes and Witting"
140,grocery_pos,"Rowe, Batz and Goodwin"
141,grocery_pos,Cole PLC
142,grocery_pos,"Heller, Gutmann and Zieme"
143,grocery_pos,"Moen, Reinger and Murphy"
144,grocery_pos,"Osinski, Ledner and Leuschke"
145,grocery_pos,Bogisich Inc
146,grocery_pos,McDermott-Weimann
147,grocery_pos,Pacocha-O'Reilly
148,grocery_pos,"Lockman, West and Runte"
149,grocery_pos,Strosin-Cruickshank
150,pharmacy,Cormier-Bechtelar
151,pharmacy,O'Conner Ltd
152,pharmacy,Carter Group
153,pharmacy,Green-Pacocha
154,pharmacy,Ratke Group
155,pharmacy,Kozey Group
156,pharmacy,Jerde Inc
157,pharmacy,Lindgren-Langosh
158,pharmacy,Klein and Sons
159,pharmacy,Barton and Sons
160,pharmacy,Terry-Ratke
161,pharmacy,Stokes-Kemmer
162,pharmacy,Nitzsche Ltd
163,pharmacy,Leuschke-Heller
164,pharmacy,"Stroman, Kilback and Schowalter"
165,pharmacy,"Rau, Yundt and Marks"
166,pharmacy,Prohaska Group
167,pharmacy,"Breitenberg, Mitchell and Hegmann"
168,pharmacy,Cummings-Lubowitz
169,pharmacy,Heidenreich and Sons
170,pharmacy,Feest PLC
171,pharmacy,Abbott Group
172,pharmacy,Torphy-Walter
173,pharmacy,Johnston-Hansen
174,pharmacy,Homenick-Block
175,pharmacy,Ziemann-Cronin
176,pharmacy,Herman Ltd
177,pharmacy,Ebert PLC
178,pharmacy,"Casper, Cole and Labadie"
179,pharmacy,"DuBuque, Treutel and Bogisich"
180,pharmacy,Muller-Kertzmann
181,pharmacy,Medhurst-Roob
182,pharmacy,Rohan-Grant
183,pharmacy,Kuhic Inc
184,pharmacy,Kohler and Sons
185,pharmacy,Farrell Inc
186,pharmacy,"Berge, Satterfield and Howe"
187,pharmacy,Lebsack Inc
188,pharmacy,"Little, Tillman and Will"
189,pharmacy,Schowalter-Hilll
190,pharmacy,Ferry-White
191,pharmacy,Bartoletti Inc
192,pharmacy,"Wuckert, Hahn and VonRueden"
193,pharmacy,"Dickinson, Daniel and Schmidt"
194,pharmacy,Hammes Ltd
195,pharmacy,Quigley-Kutch
196,pharmacy,Hirthe LLC
197,pharmacy,"Huels, Cole and Hand"
198,pharmacy,Wintheiser PLC
199,pharmacy,"Kozey, Conn and Hammes"
200,misc_net,"Lehner, Mosciski and King"
201,misc_net,"Hayes, Marquardt and Dibbert"
202,misc_net,Kerluke Inc
203,misc_net,Nader-Heller
204,misc_net,Flatley-Durgan
205,misc_net,McGlynn-Heathcote
206,misc_net,"Kerluke, Kertzmann and Wiza"
207,misc_net,Kerluke PLC
208,misc_net,Donnelly PLC
209,misc_net,Durgan-Auer
210,misc_net,Kris-Weimann
211,misc_net,Koelpin and Sons
212,misc_net,Ruecker Group
213,misc_net,Corwin-Gorczany
214,misc_net,Dooley-Thompson
215,misc_net,"Greenfelder, Bartoletti and Davis"
216,misc_net,Brown PLC
217,misc_net,"Tillman, Fritsch and Schmitt"
218,misc_net,Volkman Ltd
219,misc_net,Dach-Nader
220,misc_net,"Rippin, Kub and Mann"
221,misc_net,"Herman, Treutel and Dickens"
222,misc_net,Jaskolski-Vandervort
223,misc_net,Huel-Langworth
224,misc_net,"Kerluke, Considine and Macejkovic"
225,misc_net,"Johnson, Runolfsdottir and Mayer"
226,misc_net,Bogisich-Homenick
227,misc_net,"Stehr, Jewess and Schimmel"
228,misc_net,"Rohan, White and Aufderhar"
229,misc_net,Kuphal-Predovic
230,misc_net,Bednar Group
231,misc_net,Welch Inc
232,misc_net,"Jones, Sawayn and Romaguera"
233,misc_net,Hamill-Daugherty
234,misc_net,Lebsack and Sons
235,misc_net,Schmitt Ltd
236,misc_net,Kunde-Sanford
237,misc_net,Mante Group
238,misc_net,"Rodriguez, Yost and Jenkins"
239,misc_net,"Moore, Dibbert and Koepp"
240,misc_net,"Ferry, Lynch and Kautzer"
241,misc_net,Block-Parisian
242,misc_net,Zemlak Group
243,misc_net,Miller-Harris
244,misc_net,Huel Ltd
245,misc_net,Kuhn LLC
246,misc_net,Kuphal-Bartoletti
247,misc_net,"Parisian, Schiller and Altenwerth"
248,misc_net,Klocko LLC
249,misc_net,"Bernier, Volkman and Hoeger"
250,misc_pos,Keeling-Crist
251,misc_pos,"Wiza, Schaden and Stark"
252,misc_pos,"Boehm, Predovic and Reinger"
253,misc_pos,Simonis-Prohaska
254,misc_pos,Flatley Group
255,misc_pos,Wisozk and Sons
256,misc_pos,"Cremin, Hamill and Reichel"
257,misc_pos,Block Group
258,misc_pos,Reynolds-Schinner
259,misc_pos,Haley Group
260,misc_pos,Christiansen-Gusikowski
261,misc_pos,Howe Ltd
262,misc_pos,Torp-Lemke
263,misc_pos,Maggio-Fahey
264,misc_pos,Boyer PLC
265,misc_pos,"Lehner, Reichert and Mills"
266,misc_pos,"Yost, Block and Koepp"
267,misc_pos,Turcotte-Halvorson
268,misc_pos,Towne LLC
269,misc_pos,Eichmann-Russel
270,misc_pos,Stiedemann Inc
271,misc_pos,"Wintheiser, Dietrich and Schimmel"
272,misc_pos,McDermott-Rice
273,misc_pos,Bruen-Yost
274,misc_pos,McCullough LLC
275,misc_pos,Gutmann-Upton
276,misc_pos,Kemmer-Buckridge
277,misc_pos,Herman Inc
278,misc_pos,Buckridge PLC
279,misc_pos,"Terry, Johns and Bins"
280,misc_pos,Balistreri-Nader
281,misc_pos,Roberts-Beahan
282,misc_pos,Dickinson Ltd
283,misc_pos,Spencer-Runolfsson
284,misc_pos,Hermann-Gaylord
285,misc_pos,Dickinson-Rempel
286,misc_pos,Smith-Stokes
287,misc_pos,"Monahan, Bogisich and Ledner"
288,misc_pos,Williamson LLC
289,misc_pos,Stamm-Rodriguez
290,misc_pos,Schmeler Inc
291,misc_pos,McGlynn-Jaskolski
292,misc_pos,"Nienow, Ankunding and Collier"
293,misc_pos,Herzog Ltd
294,misc_pos,Halvorson Group
295,misc_pos,"Boehm, Block and Jakubowski"
296,misc_pos,"Turner, Ruecker and Parisian"
297,misc_pos,Thiel PLC
298,misc_pos,Wiza LLC
299,misc_pos,Gislason Group
300,shopping_net,Cormier LLC
301,shopping_net,"Reichert, Rowe and Mraz"
302,shopping_net,Bashirian Group
303,shopping_net,"Langworth, Boehm and Gulgowski"
304,shopping_net,"Greenholt, O'Hara and Balistreri"
305,shopping_net,Kozey-Boehm
306,shopping_net,Boyer-Reichert
307,shopping_net,Heathcote LLC
308,shopping_net,Boyer PLC
309,shopping_net,Kerluke-Abshire
310,shopping_net,Gerlach Inc
311,shopping_net,Goyette Inc
