id,number,title,created_at,updated_at,closed_at,author_association,comments,body,user_login,user_id,Crypto_Name,Extension
1661541619,31138,v1.14: doc: typo in geyser plugin doc (backport of #31125),2023-04-10 23:29:19,2023-04-10 23:30:21,,CONTRIBUTOR,0,"This is an automatic backport of pull request #31125 done by [Mergify](https://mergify.com).


---


<details>
<summary>Mergify commands and options</summary>

<br />

More conditions and actions can be found in the [documentation](https://docs.mergify.com/).

You can also trigger Mergify actions by commenting on this pull request:

- `@Mergifyio refresh` will re-evaluate the rules
- `@Mergifyio rebase` will rebase this PR on its base branch
- `@Mergifyio update` will merge the base branch into this PR
- `@Mergifyio backport <destination>` will backport this PR on `<destination>` branch

Additionally, on Mergify [dashboard](https://dashboard.mergify.com) you can:

- look at your merge queues
- generate the Mergify configuration with the config editor.

Finally, you can contact us on https://mergify.com
</details>",mergify[bot],37929162,solana,/issues
1661342491,31137,validator: `--tpu-host-addr` -> `--public-tpu-address`,2023-04-10 20:49:31,2023-04-11 00:04:07,,CONTRIBUTOR,1,"#### Problem

`--tpu-host-addr` is not very clear and does not match other similar arguments

See https://github.com/solana-labs/solana/pull/30452#issuecomment-1475316593 and below

#### Summary of Changes

`--tpu-host-addr` arg has been renamed to `--public-tpu-address` (with an added alias)

",diman-io,71597545,solana,/issues
1661296052,31136,Rename IncrementalSnapshotHashes to SnapshotHashes,2023-04-10 20:10:09,2023-04-11 01:14:45,,CONTRIBUTOR,1,"#### Problem

To handle bootstrap better, we'll be changing how `IncrementalSnapshotHashes` will be used. It will contain hashes for both full and incremental snapshots. The current name could convey that better.


#### Summary of Changes

- Rename `IncrementalSnapshotHashes` to `SnapshotHashes`
- Rename the fields to `full` and `incremental`
- Update the callers",brooksprumo,840349,solana,/issues
1661293686,31135,disk index: add more tests,2023-04-10 20:08:25,2023-04-10 22:43:24,,CONTRIBUTOR,1,"#### Problem

#### Summary of Changes
Add more tests for #31133

Fixes #
<!-- OPTIONAL: Feature Gate Issue: # -->
<!-- Don't forget to add the ""feature-gate"" label -->
",jeffwashington,75863576,solana,/issues
1661257166,31134,chore: Update Blockstore::get_slots_since() doc comments,2023-04-10 19:39:33,2023-04-10 21:20:17,,CONTRIBUTOR,1,"#### Summary of Changes
Add more descriptive doc comment for the function. Additionally, change the function signature to use Slot instead of u64. Slot is defined as an alias of u64 so these are functionally equivalent, but using Slot over u64 is more expressive of the intent.",steviez,5400107,solana,/issues
1661142003,31132,chore: Variable rename `height` ==> `slot` in blockstore function,2023-04-10 18:04:15,2023-04-10 20:13:07,,CONTRIBUTOR,1,"#### Problem
Slots refer to time windows where a block could be produced whereas height refers to how many blocks are actually in a fork. This function is operating on a list of slots, so the use of ""height"" is incorrect and misleading.

#### Summary of Changes
Rename variable",steviez,5400107,solana,/issues
1661120195,31131,Add remove_incomplete_bank_snapshot_dir,2023-04-10 17:48:05,2023-04-10 17:48:05,,CONTRIBUTOR,0,"#### Problem
Creating a bank snapshot dir takes multiple steps.  If the process is killed in the middle of the process, the directory is incomplete, not good for constructing a bank. 
There is already a flag file ""state_complete"" to guard against it, so that a snapshot dir missing that flag does to get selected to construct a BankSnapshotInfo.  But then the new design will purge the bank snaphosts based on the snapshot state, not by the directory.  That could lead to incomplete dir being left on disk forever.

#### Summary of Changes
Add remove_incomplete_bank_snapshot_dir to ensure the incomplete snapshot dirs are cleared, not causing confusion.



Fixes #
<!-- OPTIONAL: Feature Gate Issue: # -->
<!-- Don't forget to add the ""feature-gate"" label -->
",xiangzhu70,59367509,solana,/issues
1661106152,31130,add test,2023-04-10 17:34:14,2023-04-10 17:34:14,,CONTRIBUTOR,0,"#### Problem
Add test related to #31094

#### Summary of Changes


Fixes #
<!-- OPTIONAL: Feature Gate Issue: # -->
<!-- Don't forget to add the ""feature-gate"" label -->
",jeffwashington,75863576,solana,/issues
1661093712,31129,Add secondary vote lockout check,2023-04-10 17:21:49,2023-04-11 02:43:35,,CONTRIBUTOR,6,"#### Problem
We're seeing frequent (multiple times a day) long root stalls (10s of seconds) on testnet and MNB. Length of these stalls seems to be related to the vote lockout period.

#### Summary of Changes
This is a first pass at adding a second, earlier vote lockout threshold that has to be passed. The original lockout ensures the 8th deep vote on the tower has 66%. This earlier one would ensure the 4th deep vote has 33%. Note this idea is just exploratory at this phase.

The idea is that instead of blindly voting on a minority fork until we get 8 votes deep (locked out for 256 slots), we will only allow ourselves to get 4 votes deep (16 slots) unless we see positive signs that many others are voting with us.

The code itself is a little funky right now in the way it uses the existing `threshold_depth` and `threshold_size` from `Tower` and merges this with newly added depth/size constants into a vector. If we decide the idea is worth pursuing, we can talk about the right way to do this part.",bw-solana,44715351,solana,/issues
1661014315,31128,"cargo build-sbf depends on libssl.so.1.1, which is deprecated",2023-04-10 16:10:30,2023-04-10 16:10:30,,NONE,0,"#### Problem
The solana build toolchain is dynamically links to openssl 1.1.1, which has been deprecated and is nearing EOL, in fact, it isn't provided on Ubuntu 22.04.

#### Proposed Solution

Update the build-sbf toolchain.",ARitz-Cracker,5233816,solana,/issues
