,#,Symbol,Link,Description
1,1,JY,http://api.kibot.com/?action=download&link=15171e1f1l1cim1k1f1r1e1l1bzmm41ezm1a19im181t1e1t1b191rm41t1c1512161t1r1e1912immpm41rzm1j141l1pimikivm41f1c1e191b1g151pim1e1f171hm41r1e151b1e12151e19immjmhmjmhmjmtmpmpm4121f1b19171eimmjm4151e1e15171k1j191c1eimmjm41b191d1t1p151b1r191r1r1f1l1cimmpm41t1r191bim1514191ciz171l1j17151r1em61c191em41a151r1r1v1l1b12im191819mc191b191d1aaiam7v7f,CONTINUOUS JAPANESE YEN CONTRACT
2,2,TY,http://api.kibot.com/?action=download&link=15171g1f1l1akp161f1r1g1l1isppz1gsp1b19kp181t1g1t1i191rpz1t1a1512141t1r1g1912kppcpz1rsp1j1z1l1ckpkikvpz1f1a1g191i1e151ckp1g1f171hpz1r1g151i1g12151g19kppjphpjphpjptpcpcpz121f1i19171gkppjpz151g1g1517161j191a1gkppjpz1i191d1t1c151i1r191r1r1f1l1akppcpz1t1r191ikp151z191aks171l1j17151r1gp41a191gpz1b151r1r1v1l1i12kp191819pa191i191d1bacam7v7f,CONTINUOUS 10 YR US TREASURY NOTE CONTRACT
3,3,FV,http://api.kibot.com/?action=download&link=iui2ieifilic13i8ifirieilibz334iez3iai613i7itieitibi6ir34iticiuimi9itiriei6im133k34irz3iji4ilik131m1e34ificiei6ibigiuik13ieifi2ih34irieiuibieimiuiei6133j3h3j3h3j3t3k3k34imifibi6i2ie133j34iuieieiui2i8iji6icie133j34ibi6iditikiuibiri6iririfilic133k34itiri6ib13iui4i6ic1zi2iliji2iuirie39ici6ie34iaiuiririvilibim13i6i7i63ci6ibi6idiaa8ad7v7f,CONTINUOUS 5 YR US TREASURY NOTE CONTRACT
4,4,ES,http://api.kibot.com/?action=download&link=t1tmtntatltdu2t9tatgtntltfz224tnz2tbt8u2t6tktntktft8tg24tktdt1t7t3tktgtnt8t7u22c24tgz2tit4tltcu2umur24tatdtnt8tftht1tcu2tntatmte24tgtnt1tftnt7t1tnt8u22i2e2i2e2i2k2c2c24t7tatft8tmtnu22i24t1tntnt1tmt9tit8tdtnu22i24tft8tjtktct1tftgt8tgtgtatltdu22c24tktgt8tfu2t1t4t8tduztmtltitmt1tgtn23tdt8tn24tbt1tgtgtptltft7u2t8t6t82dt8tft8tjtba6ae7v7f,CONTINUOUS E-MINI S&P 500 CONTRACT
5,5,EU,http://api.kibot.com/?action=download&link=v3vmvrvavlvdpuv9vavtvrvlvfzuu4vrzuvbv8puv6vgvrvgvfv8vtu4vgvdv3v7v5vgvtvrv8v7puucu4vtzuviv4vlvcpupmptu4vavdvrv8vfvhv3vcpuvrvavmveu4vtvrv3vfvrv7v3vrv8puuiueuiueuiugucucu4v7vavfv8vmvrpuuiu4v3vrvrv3vmv9viv8vdvrpuuiu4vfv8vjvgvcv3vfvtv8vtvtvavlvdpuucu4vgvtv8vfpuv3v4v8vdpzvmvlvivmv3vtvru5vdv8vru4vbv3vtvtvkvlvfv7puv8v6v8udv8vfv8vjvba6ar7v7f,CONTINUOUS EURO FX CONTRACT
6,6,GC,http://api.kibot.com/?action=download&link=pkp7pfplpipb13p6plprpfpipgz334pfz3pdpm13p9ptpfptpgpmpr34ptpbpkp2pcptprpfpmp2133h34prz3pep4piph131m1k34plpbpfpmpgpjpkph13pfplp7pa34prpfpkpgpfp2pkpfpm133e3a3e3a3e3t3h3h34p2plpgpmp7pf133e34pkpfpfpkp7p6pepmpbpf133e34pgpmp8ptphpkpgprpmprprplpipb133h34ptprpmpg13pkp4pmpb1zp7pipep7pkprpf3cpbpmpf34pdpkprprpvpipgp213pmp9pm3bpmpgpmp8pdapab7v7f,CONTINUOUS GOLD CONTRACT
7,7,US,http://api.kibot.com/?action=download&link=t1t6tntftltaszt9tftktntlteuzz2tnuztbt3szt8titntitet3tkz2titat1t7t5titktnt3t7szzcz2tkuztjt2tltcszsksrz2tftatnt3tetgt1tcsztntft6thz2tktnt1tetnt7t1tnt3szzjzhzjzhzjzizczcz2t7tftet3t6tnszzjz2t1tntnt1t6t9tjt3tatnszzjz2tet3tdtitct1tetkt3tktktftltaszzcz2titkt3teszt1t2t3tasut6tltjt6t1tktnz5tat3tnz2tbt1tktktmtltet7szt3t8t3zat3tet3tdtbarae7v7f,CONTINUOUS 30 YR US TREASURY BOND CONTRACT
8,8,AD,http://api.kibot.com/?action=download&link=p4p8pdpeplpc13p2peprpdplpbz33kpdz3pipf13p7ptpdptpbpfpr3kptpcp4pup9ptprpdpfpu13363kprz3pjpkplp6131m1k3kpepcpdpfpbpgp4p613pdpep8ph3kprpdp4pbpdpup4pdpf133j3h3j3h3j3t36363kpupepbpfp8pd133j3kp4pdpdp4p8p2pjpfpcpd133j3kpbpfpaptp6p4pbprpfprprpeplpc13363kptprpfpb13p4pkpfpc1zp8plpjp8p4prpd39pcpfpd3kpip4prprpvplpbpu13pfp7pf3cpfpbpfpapia4as7v7f,CONTINUOUS AUSTRALIAN DOLLAR CONTRACT
9,9,NQ,http://api.kibot.com/?action=download&link=t2t6tntftrtcs3t9tftetntrtbz334tnz3tlt1s3t8titntitbt1te34titct2t7tutitetnt1t7s33k34tez3tjt4trtks3sksr34tftctnt1tbtgt2tks3tntft6th34tetnt2tbtnt7t2tnt1s33j3h3j3h3j3i3k3k34t7tftbt1t6tns33j34t2tntnt2t6t9tjt1tctns33j34tbt1tdtitkt2tbtet1tetetftrtcs33k34titet1tbs3t2t4t1tcszt6trtjt6t2tetn3utct1tn34tlt2tetetmtrtbt7s3t1t8t13ct1tbt1tdtlava57v7f,CONTINUOUS E-MINI NASDAQ 100 CONTRACT
10,10,CL,http://api.kibot.com/?action=download&link=mkm4mfmamlmc13m9mamrmfmlmbz332mfz3mdm813m6mtmfmtmbm8mr32mtmcmkm7mimtmrmfm8m7133s32mrz3mjm2mlms131k1i32mamcmfm8mbmgmkms13mfmam4me32mrmfmkmbmfm7mkmfm8133j3e3j3e3j3t3s3s32m7mambm8m4mf133j32mkmfmfmkm4m9mjm8mcmf133j32mbm8mhmtmsmkmbmrm8mrmrmamlmc133s32mtmrm8mb13mkm2m8mc1zm4mlmjm4mkmrmf3imcm8mf32mdmkmrmrmvmlmbm713m8m6m83cm8mbm8mhmdaba97v7f,CONTINUOUS CRUDE OIL CONTRACT
