Date,Added,Added,Removed,Removed,Reason
Date,Ticker,Security,Ticker,Security,Reason
"October 18, 2019",SEDG,SolarEdge,ISCA,International Speedway,Nascar Holdings Inc. acquired International Speedway.[2]
"October 8, 2019",MRCY,Mercury Systems,VSM,Versum Materials,Merck KGaAis acquiring Versum Materialsin a deal expected to be completed on or about that date pending final conditions.[3]
"October 3, 2019",NKTR,Nektar Therapeutics,BID,Sotheby's,Market capitalization changes[4]
"September 26, 2019",JEF,Jefferies Financial Group,NVR,NVR,Market capitalization[5]
"September 26, 2019",IIVI,II-VI,CPE,Callon Petroleum,Market capitalization[5]
"September 18, 2019",PK,Park Hotels & Resorts,INGN,Inogen,Market capitalization changes[6]
"September 23, 2019",SIGI,Selective Insurance Group Inc.,SIG,Signet Jewelers Ltd,Market capitalization changes[7]
"September 23, 2019",RGEN,Repligen,RRC,Range Resources Corp,Market capitalization changes[7]
"September 23, 2019",FCFS,FirstCash,TUP,Tupperware Brands Corp,Market capitalization changes[7]
"September 23, 2019",ETSY,Etsy,MIK,The Michaels Companies,Market capitalization changes[7]
"September 23, 2019",PPC,Pilgrim's Pride,QEP,QEP Resources,Market capitalization changes[7]
"September 23, 2019",KAR,KAR Auction Services,VAL,Valaris,Market capitalization changes[7]
"September 23, 2019",AM,Antero Midstream,MDR,McDermott International,Market capitalization changes[7]
"September 23, 2019",OC,Owens Corning,CARS,Cars.com,Market capitalization changes[7]
"September 23, 2019",PEN,Penumbra Inc.,MNK,Mallinckrodt,Market capitalization changes[7]
"August 9, 2019[8]",GRUB,Grubhub,LDOS,Leidos Holdings,Market capitalization
"August 9, 2019[8]",FL,Foot Locker,IEX,IDEX Corp.,Market capitalization
"August 1, 2019",TTEK,Tetra Tech,TCF,TCF Financial,Chemical Financial Corp. (NASD: CHFC) acquired TCF Financial.[9]
"July 9, 2019",SRC,Spirit Realty Capital,SM,SM Energy,Market capitalization[10]
"July 1, 2019",AAXN,Axon Enterprise,MKTX,MarketAxess,MarketAxess Holdings Inc. (NASD:MKTX) will replace L3 Technologies Inc. (NYSE:LLL) in the S&P 500.[11]
"June 7, 2019",MAT,Mattel,BMS,Bemis Company,Amcor Limited (ASX: AMC) is merging with Bemis.[12]
"June 4, 2019",FLR,Fluor,RLGY,Realogy,Fluor has a market capitalization more representative of the mid-cap market space.[13]
