date,added ticker,added security,removed ticker,removed security,reason
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[6]
2020-06-22,TDY,Teledyne Technologies,HOG,Harley-Davidson,Market capitalization change.[6]
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[6]
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[7]
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[8]
2020-05-12,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[8]
2020-04-06,,,M,"Macy's, Inc.",Market capitalization change.[9]
2020-04-06,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
2020-04-03,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
2020-04-03,CARR,Carrier Global,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
2020-03-03,GDI,Gardner Denver,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand plc's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc. and later changed the ticker to IR.[10]"
2020-01-28,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[11]
2019-12-23,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[12]
2019-12-23,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[12]
2019-12-23,STE,STERIS plc,MAC,Macerich,Market capitalization change.[12]
2019-12-09,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[13]
2019-12-05,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[14]
2019-11-21,NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb Co. (NYSE:BMY) acquired Celgene.[15]
2019-10-03,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market Cap changes[16]
2019-09-26,NVR,NVR Inc,JEF,Jefferies Financial Group Inc,JEF spun off SPB.[17]
2019-09-23,CDW,CDW,TSS,TSYS,S&P 500 constituent Global Payments Inc. (NYSE: GPN) acquired TSS.[18]
2019-08-09,LDOS,Leidos Holdings,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[19]
2019-08-09,IEX,IDEX Corporation,FL,Foot Locker,Foot Locker moved to the S&P MidCap 400.[19]
2019-07-15,TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[20]
2019-07-01,MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[21]
2019-06-07,BMS,Bemis Co Inc,MAT,Mattel Inc,Bemis merged with Amcor; subsequently renamed to Amcor plc[22]
